Voter Registration,Registration Date,Name,Street #,Apt #,Street Name,City,Zip Code,County,Race,Gender,Status,Year of Birth
00648104,1988-1-9,"MIMS, NELLIE",877,,DEERFIELD DR,BAXLEY,31563 - 2955,APPLING,White not of Hispanic Origin,F,Active,1988
10094718,2017-10-3,"SPELL, AINSLEY",25,317,BETHEL FREEWILL RD,BAXLEY,31513 - 2838,APPLING,Hispanic,F,Cancelled,2017
05448103,1967-12-5,"CHOUINARD, KERRY",404,,PINE ST,BAXLEY,31513,APPLING,White not of Hispanic Origin,F,Cancelled,1967
11256150,1985-7-8,"THORNTON, LIBBY",876,,POOR ROBIN RD,HAZLEHURST,31513 - 7803,APPLING,White not of Hispanic Origin,F,Cancelled,1985
12133702,1984-5-2,"STALLINGS, MELLIE",412,799,BEN CARTER RD,BAXLEY,31555 - 6115,APPLING,White not of Hispanic Origin,F,Active,1984
00967700,2002-5-3,"WILLIAMS, EDWARD",889,52,STONE RD,BAXLEY,31513 - 9905,APPLING,Black not of Hispanic Origin,F,Cancelled,2002
00650984,2020-11-9,"MANN, HAZEL",685,477,CROWDER ST,BAXLEY,31513 - 3322,APPLING,White not of Hispanic Origin,F,Active,2020
00654067,2022-9-23,"WAYE, FREDDY",863,731,W F MILES RD,BAXLEY,31513,APPLING,White not of Hispanic Origin,M,Cancelled,2022
04690508,2001-12-25,"KLEFFMAN, SAGE",426,657,GOLDEN ISLE E,BAXLEY,31513,APPLING,White not of Hispanic Origin,F,Inactive,2001
10431966,1963-4-28,"BUTLER, AUGUST",281,,BLACKSHEAR HWY,BAXLEY,31513,APPLING,White not of Hispanic Origin,M,Active,1963
00647531,1961-3-6,"MCDOWELL, DONOVAN",390,785,MILTON HALLMAN RD,BAXLEY,31513 - 5411,APPLING,Black not of Hispanic Origin,M,Cancelled,1961
00651809,2020-2-1,"MIMS, RODNEY",464,512,ZOAR RD,BAXLEY,31513 - 8428,APPLING,White not of Hispanic Origin,M,Active,2020
08090164,2022-3-11,"STEVENSON, SARAH",480,,LAMAR CROSBY RD,SURRENCY,31513 - 7136,APPLING,White not of Hispanic Origin,F,Active,2022
03543520,2023-1-24,"MCCLAIN, NEWTON",732,,E ALLEN ST,BAXLEY,31513,APPLING,White not of Hispanic Origin,M,Cancelled,2023
04166840,1972-2-8,"SIMMONS, ZOE",364,708,CANNAFAX DR,BAXLEY,31513 - 5828,APPLING,White not of Hispanic Origin,F,Active,1972
11002411,1994-10-23,"MORRIS, LUCRETIA",53,,JANIS ST,BAXLEY,31513,APPLING,Hispanic,F,Active,1994
00651706,2003-7-12,"WILKERSON, MONA",636,,CAMERON RD,BAXLEY,31563 - 2112,APPLING,White not of Hispanic Origin,F,Active,2003
00650248,1978-2-16,"MURPHY, TAMIKA",477,,JEKYLL RD,BRISTOL,31513 - 3814,APPLING,White not of Hispanic Origin,F,Cancelled,1978
00647557,2004-9-22,"EVANS, ASHLEY",831,286,GARDNER RD,BAXLEY,31513,APPLING,White not of Hispanic Origin,M,Active,2004
03416920,2018-4-9,"MILES, JOSUE",117,,JENNIFER LN,BAXLEY,31513,APPLING,White not of Hispanic Origin,M,Active,2018
01715306,1994-8-10,"BEECHER, JOESPH",565,749,ALAN HARVEY DR,BAXLEY,31513 - 7810,APPLING,Unknown,M,Active,1994
02301535,2021-1-4,"BELL, ERMA",682,,HOPPS ST,BAXLEY,31513 - 5532,APPLING,Black not of Hispanic Origin,F,Active,2021
4096901,2001-9-11,"BARRON, YOLANDA",769,651,SATILLA CHURCH RD,BAXLEY,31513 - 8933,APPLING,Black not of Hispanic Origin,Unknown,Active,2001
06466402,2009-7-15,"BRYANT, MAYBELLE",726,,POOR ROBIN RD,BAXLEY,31513 - 2188,APPLING,White not of Hispanic Origin,Unknown,Cancelled,2009
12226726,1990-1-14,"BUTLER, ZAYN",187,,CAULEY RD,BAXLEY,31513,APPLING,White not of Hispanic Origin,M,Active,1990
11301567,1978-12-13,"BOWLING, FIDEL",945,870,LONG BRANCH RD,BAXLEY,31513 - 8775,APPLING,White not of Hispanic Origin,M,Active,1978
648581,1980-5-11,"PAGE, LEILA",286,,W PARKER ST,BAXLEY,31513 - 7810,APPLING,Black not of Hispanic Origin,F,Active,1980
07720303,1970-6-6,"PEARCE, RONIN",544,348,GEORGE CRAVEN RD,BAXLEY,31513,APPLING,Hispanic,M,Active,1970
00655405,1994-4-21,"DYAL, BLANCA",910,338,MAPLE LN,BAXLEY,31513 - 8277,APPLING,White not of Hispanic Origin,F,Cancelled,1994
06668363,1967-1-25,"SMITH, KOURTNEY",549,125,PATTERSON RD,BAXLEY,31518 - 4341,APPLING,White not of Hispanic Origin,F,Active,1967
12023583,1981-1-22,"CLEMONS, BETTYE",9,,DAISY LN,BAXLEY,31513,APPLING,Black not of Hispanic Origin,F,Active,1981
12100950,1961-10-26,"MEGUIAR, LESLIE",231,,CLELAND LN,BAXLEY,31513 - 5236,APPLING,White not of Hispanic Origin,M,Cancelled,1961
00647424,1987-1-10,"CLAXTON, ROY",926,656,SAM LN,BAXLEY,31513 - 3109,APPLING,White not of Hispanic Origin,M,Active,1987
00651942,2001-8-12,"BEDINGFIELD, ARTIE",658,899,RR 2 BOX 35,BAXLEY,31513,APPLING,White not of Hispanic Origin,M,Active,2001
00547840,2021-10-18,"CRAPPS, JAN",557,637,AYCOCK RD,BAXLEY,31513 - 5712,APPLING,Other,M,Cancelled,2021
654791,1981-6-19,"NEWKIRK, CHRIST",641,469,POOR ROBIN RD,BAXLEY,31513,APPLING,Unknown,M,Cancelled,1981
10231086,1984-8-27,"MILES, SONNY",649,930,PHILLIPI CHURCH RD,BAXLEY,31513,APPLING,Black not of Hispanic Origin,M,Active,1984
10193203,1961-12-1,"MEHNERT, LIV",955,722,WILSON CRAPPS RD,BAXLEY,31513,APPLING,White not of Hispanic Origin,F,Cancelled,1961
00944511,2009-10-16,"CAMPBELL, BILLIE",836,716,ALTAMAHA SCHOOL RD,BAXLEY,31513 - 4798,APPLING,Black not of Hispanic Origin,M,Active,2009
08700522,2002-8-7,"BELL, LEILANI",714,,RED OAK RD,BAXLEY,31513,APPLING,White not of Hispanic Origin,F,Inactive,2002
10937022,2002-12-15,"SELLERS, HILBERT",366,575,RED OAK RD,BAXLEY,31513,APPLING,White not of Hispanic Origin,M,Active,2002
648205,1976-4-1,"CARTER, LETITIA",528,144,JOHNS LN,BAXLEY,31563,APPLING,Black not of Hispanic Origin,F,Active,1976
11346137,1972-2-12,"SELLERS, KAMIYAH",688,451,S MAIN ST,BRISTOL,31513 - 9011,APPLING,White not of Hispanic Origin,F,Cancelled,1972
12534223,1977-7-11,"EUNICE, GENEVIEVE",930,124,MIDDLEWOOD DR,BAXLEY,31513,APPLING,White not of Hispanic Origin,F,Cancelled,1977
4280669,1971-6-25,"HEWETT, ISIDRO",264,225,JR ROBERSON RD,BAXLEY,31513 - 0350,APPLING,White not of Hispanic Origin,M,Active,1971
05505654,2015-4-17,"PITTS, KENNETH",233,726,LUCERNE ST,BAXLEY,31563 - 2148,APPLING,White not of Hispanic Origin,M,Active,2015
00651084,1985-5-20,"YAWN, BLAIR",794,214,SURSSON ST,BAXLEY,31513 - 7299,APPLING,American Indian or Alaskan Native,F,Active,1985
00651539,1989-10-24,"GALLAMORE, LULU",756,,HOLT RENTZ RD,BAXLEY,31513,APPLING,White not of Hispanic Origin,F,Active,1989
10431589,1987-10-22,"KERSEY, LORENZO",130,223,MICHAEL LAKE RD,BAXLEY,31518,APPLING,Black not of Hispanic Origin,M,Active,1987
00652623,2003-3-9,"RUHNAU, SUSIE",542,651,WILLOW LN,BAXLEY,31563 - 2553,APPLING,White not of Hispanic Origin,F,Cancelled,2003
03652555,2015-12-18,"HODGDEN, PRESTON",196,,MAUDE LN,BAXLEY,31513,APPLING,White not of Hispanic Origin,M,Active,2015
00647038,1993-1-22,"BYRD, LEVY",117,,DUB BAXLEY RD,SURRENCY,31563 - 2016,APPLING,White not of Hispanic Origin,M,Cancelled,1993
07811937,1978-7-10,"REYNOLDS, MARIO",317,,BUCK HEAD RD,BAXLEY,31513,APPLING,Asian or Pacific Islander,M,Cancelled,1978
10746749,2010-4-22,"PARNELL, SHIRLEY",227,524,LEGGETT RD,BAXLEY,31513 - 1108,APPLING,White not of Hispanic Origin,F,Cancelled,2010
13394471,1962-2-1,"RICHARDSON, GUY",97,625,MCCLURE LN,SURRENCY,31513,APPLING,White not of Hispanic Origin,M,Cancelled,1962
04334065,1993-3-24,"REEVES, ALDA",950,239,RED OAK RD,BAXLEY,31513 - 5820,APPLING,White not of Hispanic Origin,F,Active,1993
00654333,1962-9-15,"GRIFFIN, IAN",675,906,PINE STREET EXT,BAXLEY,31513 - 4640,APPLING,White not of Hispanic Origin,M,Cancelled,1962
10388588,1997-1-27,"SMITH, TAWANDA",283,,COUNTY FARM RD,HAZLEHURST,31513 - 3834,APPLING,Black not of Hispanic Origin,F,Active,1997
7794962,1977-2-13,"BLUE, DAYANA",117,690,FALCON DR,BAXLEY,31513,APPLING,White not of Hispanic Origin,Unknown,Cancelled,1977
05068563,1966-3-3,"BRANCH, SUSANNA",118,,DEERFIELD DR,BAXLEY,31513 - 4112,APPLING,White not of Hispanic Origin,F,Cancelled,1966
00652037,1983-5-13,"KNIGHT, LEAH",958,213,BLACKSHEAR HWY,BAXLEY,31513 - 7704,APPLING,White not of Hispanic Origin,F,Inactive,1983
08005960,1971-6-15,"HERNDON, DERON",933,210,COUNTY FARM RD,BAXLEY,31513 - 6729,APPLING,Black not of Hispanic Origin,M,Active,1971
00654577,1991-11-25,"KENNEDY, PEDRO",938,756,W ALLEY ST,BAXLEY,31513 - 6435,APPLING,White not of Hispanic Origin,M,Active,1991
00648962,1988-10-28,"SLOAN, HARRY",469,631,FIRE STATION RD,BAXLEY,31513,APPLING,Black not of Hispanic Origin,M,Cancelled,1988
00652148,2007-5-12,"BENNETT, COLETTE",853,155,PINEY BLUFF RD,BAXLEY,31563 - 2511,APPLING,White not of Hispanic Origin,Unknown,Active,2007
07793318,2020-3-6,"GRINER, JEANNE",767,,ROSEWOOD LN,BAXLEY,31513 - 4243,APPLING,White not of Hispanic Origin,F,Inactive,2020
4509636,1996-9-14,"WILLIAMS, ANGELA",564,336,RICARDO ST,BAXLEY,31513 - 6743,APPLING,White not of Hispanic Origin,F,Cancelled,1996
5947974,2000-6-16,"TWIGGS, MARGARETTE",217,,DEERWOOD LN,BAXLEY,31513 - 5151,APPLING,Black not of Hispanic Origin,Unknown,Active,2000
00654128,1997-3-20,"YOUNGBLOOD, LOYD",194,,LACKAWANNA ST,BAXLEY,31513,APPLING,Black not of Hispanic Origin,M,Cancelled,1997
03791633,1965-12-18,"MORRIS, ERNST",464,,WADE AYCOCK RD,BAXLEY,31513,APPLING,White not of Hispanic Origin,M,Cancelled,1965
12283453,2007-10-10,"GARCIA, HERMON",693,,BIG CREEK RD,BAXLEY,31513,APPLING,White not of Hispanic Origin,M,Active,2007
00653331,1971-5-22,"SMILEY, CHRYSTAL",195,55,RUSSELL RD,BAXLEY,31513 - 0965,APPLING,White not of Hispanic Origin,F,Cancelled,1971
07721327,1960-12-22,"ROBERTS, LYNETTE",490,834,E TOLLISON ST,BAXLEY,31513,APPLING,Black not of Hispanic Origin,F,Active,1960
07687728,2002-7-28,"CRAPPS, LURLINE",922,,S MAIN ST,BAXLEY,31513,APPLING,American Indian or Alaskan Native,F,Active,2002
647174,1971-9-22,"TOLLER, EMORY",453,238,RR 1 BOX 625,BAXLEY,31513,APPLING,Black not of Hispanic Origin,M,Active,1971
08433163,1964-9-9,"MCGUIRE, AUGUSTINE",169,232,BLACKSHEAR HWY,BAXLEY,31513,APPLING,White not of Hispanic Origin,F,Cancelled,1964
00649368,1996-3-7,"WESTBERRY, GERALD",405,190,DEAN TYRE LN,BAXLEY,31513,APPLING,Black not of Hispanic Origin,M,Cancelled,1996
00653839,1966-1-28,"CULBERSON, FEDERICO",642,87,JOEY LN,BAXLEY,31513,APPLING,Black not of Hispanic Origin,M,Active,1966
05649220,2013-12-24,"HERRIN, NICKOLAS",968,,BURKETT ST,BAXLEY,31513 - 0578,APPLING,White not of Hispanic Origin,M,Active,2013
10340601,1985-9-15,"WILLIAMS, ABE",783,,BLACKSHEAR HWY,BAXLEY,31513,APPLING,Black not of Hispanic Origin,M,Active,1985
12747442,1995-10-1,"HIGGINBOTHAM, AURORA",478,155,MARIETTA ST SE,BAXLEY,31563 - 2903,APPLING,White not of Hispanic Origin,F,Cancelled,1995
07004060,1968-10-16,"BRANCH, LEWIS",733,585,PRENTISS RD,BAXLEY,31513,APPLING,Unknown,M,Cancelled,1968
00648996,1986-1-23,"ELLIS, AMERICO",142,94,CAMERON RD,BAXLEY,31513,APPLING,White not of Hispanic Origin,M,Active,1986
654990,1965-3-8,"YORK, WILFRID",677,897,SMART RD,PATTERSON,31513 - 4329,APPLING,Black not of Hispanic Origin,M,Cancelled,1965
650073,2001-12-28,"MORRIS, WILLIAM",62,785,HIGHLAND DR,BAXLEY,31513 - 0445,APPLING,Black not of Hispanic Origin,Unknown,Cancelled,2001
05405837,2021-5-1,"SPELL, SERGIO",953,,MIKE SHUMANS DR,BAXLEY,31513 - 8338,APPLING,Black not of Hispanic Origin,Unknown,Active,2021
00651576,1960-1-8,"COURSON, GEORGEANN",865,,FALCON DR,BAXLEY,31513,APPLING,White not of Hispanic Origin,F,Cancelled,1960
5057499,1995-4-16,"SMITH, MADELINE",517,,HATCH PKWY N,SURRENCY,31513 - 6628,APPLING,White not of Hispanic Origin,F,Active,1995
00647190,2001-4-26,"HOFF, LEMUEL",868,,COOPER RD,BAXLEY,31513,APPLING,White not of Hispanic Origin,M,Active,2001
12846756,1974-1-24,"EVANS, MAJOR",195,,BEACH RD,BAXLEY,31513,APPLING,White not of Hispanic Origin,Unknown,Active,1974
10771822,2003-10-15,"AMMONS, KERRIE",936,,LONG BRANCH RD,BAXLEY,31513 - 3411,APPLING,White not of Hispanic Origin,F,Inactive,2003
00653152,2021-5-26,"CARTER, FRENCH",157,225,TEN MILE RD,BAXLEY,31513 - 8002,APPLING,White not of Hispanic Origin,M,Cancelled,2021
07521214,2013-8-25,"ALLEN, OCIE",925,,VEAL CAMP RD,BAXLEY,31513 - 1119,APPLING,White not of Hispanic Origin,M,Active,2013
651664,1989-6-28,"LEE, ROSETTA",907,617,HUNTER RD,BAXLEY,31513,APPLING,White not of Hispanic Origin,F,Inactive,1989
00647945,2023-5-19,"RICHBURG, VENITA",232,,AMBER LN,BAXLEY,31513,APPLING,White not of Hispanic Origin,F,Active,2023
06474953,2003-8-4,"WICKER, TOBE",905,406,DYAL RD,BAXLEY,31513 - 7152,APPLING,Hispanic,M,Cancelled,2003
12798628,1980-3-2,"SAPP, VERA",809,703,TEN MILE RD,BAXLEY,31513,APPLING,White not of Hispanic Origin,F,Cancelled,1980
00653698,1989-5-10,"COLLINS, CAMILLA",463,437,CRANFORD RD,BAXLEY,31513,APPLING,Black not of Hispanic Origin,F,Active,1989
12596711,2007-11-6,"GJONE, OAKLEY",927,,E ALLEN ST,BAXLEY,31513,APPLING,White not of Hispanic Origin,Unknown,Active,2007
00651910,1983-10-10,"CARVER, SHERRI",598,691,GA HIGHWAY 144 NE,BAXLEY,31513,APPLING,White not of Hispanic Origin,F,Cancelled,1983
07455016,2018-12-9,"MURRAY, MARIA",724,,NORTHSIDE ST,BAXLEY,31513 - 6742,APPLING,White not of Hispanic Origin,F,Cancelled,2018
00652167,1965-6-6,"SHAW, RICHARD",633,972,EARL CAULEY RD,BAXLEY,31513 - 7927,APPLING,White not of Hispanic Origin,M,Active,1965
11461114,1978-5-13,"CREWS, KAYLI",194,,HIGHLAND DR,BAXLEY,31563 - 2769,APPLING,White not of Hispanic Origin,Unknown,Cancelled,1978
12695430,1967-1-7,"TURNER, CHRIS",681,969,MIDDLEWOOD DR,BAXLEY,31513 - 7318,APPLING,White not of Hispanic Origin,Unknown,Active,1967
00648253,2011-4-8,"GRAY, DELPHIA",911,,MAX DEEN DR,BAXLEY,31513 - 7379,APPLING,White not of Hispanic Origin,F,Cancelled,2011
00652395,2020-3-9,"SMITH, SUSANNA",975,268,JOEL LN,BAXLEY,31513,APPLING,Black not of Hispanic Origin,Unknown,Active,2020
00652085,1988-11-14,"JORDAN, LYLA",362,940,MELTON CHAPEL CHURCH RD,BAXLEY,31513,APPLING,White not of Hispanic Origin,F,Cancelled,1988
12754854,2001-4-3,"HERRIN, KEENAN",922,,WOODLAWN CHURCH RD,BAXLEY,31513,APPLING,Black not of Hispanic Origin,M,Active,2001
07582543,1997-12-7,"VIRGIL, OMAR",746,762,E TOLLISON ST,BAXLEY,31513 - 8634,APPLING,American Indian or Alaskan Native,M,Active,1997
651233,2001-2-14,"LEGGETT, SHAYNA",561,486,RUSSELL RD,BAXLEY,31513 - 5385,APPLING,White not of Hispanic Origin,F,Active,2001
00649901,1985-11-13,"MINCEY, MARLENA",478,,CLAXTON RD,BAXLEY,31513 - 2803,APPLING,White not of Hispanic Origin,F,Cancelled,1985
06012683,1973-7-16,"HALL, HARLAN",824,,WOODLAWN CHURCH RD,BAXLEY,31513,APPLING,White not of Hispanic Origin,M,Active,1973
05861767,2021-10-23,"CARTER, HARLEY",856,501,AZALEA DR,BAXLEY,31513 - 3710,APPLING,White not of Hispanic Origin,M,Active,2021
03904000,2022-4-7,"ALTMAN, ISRAEL",892,,HERBERT DEEN RD,BAXLEY,31513,APPLING,White not of Hispanic Origin,M,Inactive,2022
649674,1965-6-16,"CROSBY, VICENTE",89,588,JIM SELLERS RD,BAXLEY,31513 - 0875,APPLING,Black not of Hispanic Origin,M,Active,1965
08337215,1980-8-10,"HERNDON, LIGE",799,,BROBSTON ST,BAXLEY,31513,APPLING,White not of Hispanic Origin,M,Cancelled,1980
3624630,1978-3-12,"MONTAGNINO, AUBREE",576,,PATTERSON RD,BAXLEY,31513 - 0158,APPLING,White not of Hispanic Origin,F,Active,1978
04736669,2002-3-8,"DAVIS, KENNETH",650,248,DAVID CARTER RD,BAXLEY,31513,APPLING,Black not of Hispanic Origin,M,Cancelled,2002
00649112,1978-7-9,"SELLERS, ANN",36,77,NORTHWOOD DR,BAXLEY,31513 - 5837,APPLING,White not of Hispanic Origin,F,Active,1978
04897986,2021-11-23,"MCQUAIG, LESLEY",515,,DUNHAM LN,BAXLEY,31513,APPLING,White not of Hispanic Origin,F,Active,2021
10188177,1960-7-17,"CONAWAY, LEWIS",404,253,CATTLE GAP LN,BAXLEY,31513,APPLING,White not of Hispanic Origin,M,Cancelled,1960
00650293,1964-10-11,"MAKABIN, SHERON",222,301,NORTHWOOD DR,BAXLEY,31513,APPLING,Black not of Hispanic Origin,F,Active,1964
00647212,2010-12-26,"REVELS, MOLLY",390,,JW CROSBY RD,BAXLEY,31518,APPLING,White not of Hispanic Origin,F,Active,2010
8144626,1980-11-5,"PEOPLES, RANDY",821,18,FAIR ST,BAXLEY,31513 - 4784,APPLING,White not of Hispanic Origin,F,Active,1980
07916030,1975-12-24,"SOLOMON, ELLEN",465,,PINEY BLUFF RD,BAXLEY,31563 - 2321,APPLING,White not of Hispanic Origin,F,Cancelled,1975
620486,2022-4-28,"BUTLER, OPAL",172,,OAK ST,BRISTOL,31513 - 0531,APPLING,White not of Hispanic Origin,F,Active,2022
00648015,2020-10-13,"SOLOMON, ELIZABETH",662,226,BEN CARTER RD,BAXLEY,31513 - 0120,APPLING,Black not of Hispanic Origin,F,Active,2020
11775803,1998-8-20,"GREENWAY, FELTON",854,435,SON CARTER RD,BAXLEY,31513,APPLING,White not of Hispanic Origin,M,Cancelled,1998
10550860,2016-7-2,"GRAHAM, DEWEY",84,326,OSCAR TIPPINS RD,BAXLEY,31513,APPLING,White not of Hispanic Origin,M,Active,2016
05468605,1975-8-27,"MARTIN, RUDOLPH",570,950,STANFIELD RD,BAXLEY,31513,APPLING,White not of Hispanic Origin,M,Active,1975
00652041,1999-4-24,"SWAIN, DEANGELO",769,175,NELL HEAD DR,BAXLEY,31563,APPLING,Black not of Hispanic Origin,M,Cancelled,1999
03714225,1987-11-27,"OAKES, MARTIN",518,,BUCK HEAD RD,BAXLEY,31513,APPLING,Unknown,M,Active,1987
12534265,1982-10-27,"BRITT, BRIANNA",580,781,MIDWAY CHURCH RD,BAXLEY,31513 - 8622,APPLING,White not of Hispanic Origin,F,Inactive,1982
01663857,1992-8-12,"STONE, ANDY",399,855,MILLIKIN CHURCH RD SE,BAXLEY,31513,APPLING,White not of Hispanic Origin,M,Cancelled,1992
04969028,1980-8-3,"HIGGINBOTHAM, DAVIS",988,551,HATCH PKWY N,BAXLEY,31513,APPLING,White not of Hispanic Origin,M,Active,1980
05657027,1978-6-17,"MCLEIGHTON, ELIJAH",913,,ALTAMAHA SCHOOL RD,BAXLEY,31539,APPLING,Unknown,M,Active,1978
07988665,1986-4-16,"TAYLOR, CHRISTOPHER",418,93,CANEY CREEK LN,BAXLEY,31513 - 0915,APPLING,White not of Hispanic Origin,Unknown,Active,1986
00652086,1993-8-6,"HANSLEY, ALANI",670,552,PLEASANT HILL CHURCH RD,BAXLEY,31563 - 3225,APPLING,Black not of Hispanic Origin,F,Active,1993
00655495,2000-9-8,"LAFFITTE, ISIDORE",463,200,BULLDAWG LN,BAXLEY,31513 - 7236,APPLING,White not of Hispanic Origin,M,Active,2000
06257012,1965-12-9,"WHITE, ARJUN",476,498,JEKYLL RD,BAXLEY,31513 - 6739,APPLING,White not of Hispanic Origin,M,Active,1965
00651701,1985-11-12,"HIOTT, DEXTER",20,,ROBERSON RD,HAZLEHURST,31513,APPLING,White not of Hispanic Origin,M,Active,1985
05962768,1993-5-10,"DONATE, ZAYLEE",471,,NAIL RD,BAXLEY,31513,APPLING,Black not of Hispanic Origin,F,Active,1993
00651443,2004-10-9,"MATHEWS, HENDERSON",895,,ORANGE ST,BAXLEY,31513 - 5403,APPLING,White not of Hispanic Origin,M,Active,2004
00654255,2017-4-17,"CREWS, TAMERA",376,,BLACKSHEAR HWY,BAXLEY,31563,APPLING,Black not of Hispanic Origin,F,Active,2017
07386316,2022-10-15,"ROBINSON, NORMAN",197,344,MILLIKIN CHURCH RD,BAXLEY,31513 - 3283,APPLING,Unknown,M,Active,2022
08634858,1967-8-16,"MULLIS, GILBERTO",873,,MIDDLEWOOD DR,BAXLEY,31513,APPLING,Black not of Hispanic Origin,M,Active,1967
12595485,1987-4-6,"JONES, CARMELO",735,,COOPER RD,BAXLEY,31513,APPLING,White not of Hispanic Origin,M,Active,1987
01037864,2002-9-7,"DRAKE, WILLIS",60,,NORTHSIDE ST,BAXLEY,31513 - 7689,APPLING,White not of Hispanic Origin,M,Active,2002
10745593,1965-11-5,"MANN, PANSY",485,209,DOGWOOD DR,BAXLEY,31513,APPLING,White not of Hispanic Origin,F,Active,1965
11661911,1991-10-21,"HOLLIS, GWEN",661,600,GOLDEN ISLE W,SURRENCY,31513,APPLING,White not of Hispanic Origin,F,Active,1991
11615101,1975-6-3,"RYALS, JEFFERSON",956,778,HIGHLAND DR,BAXLEY,31513 - 0119,APPLING,White not of Hispanic Origin,M,Cancelled,1975
00652457,1989-3-25,"SPIKES, DOMENICK",260,272,HOLMESVILLE AVE,SURRENCY,31563 - 2214,APPLING,White not of Hispanic Origin,M,Active,1989
05350220,1998-6-14,"BOATRIGHT, ELDA",994,79,PRENTISS RD,BAXLEY,31513 - 0105,APPLING,White not of Hispanic Origin,F,Inactive,1998
00655210,1977-8-18,"HUGHES, RAYNA",601,322,DUB BAXLEY RD,BAXLEY,31513 - 7397,APPLING,Black not of Hispanic Origin,F,Inactive,1977
01334953,2022-12-12,"HEINZE, ETHA",731,188,HC COLLINS RD,BAXLEY,31513 - 3021,APPLING,White not of Hispanic Origin,F,Active,2022
04523620,2015-11-12,"CRAPPS, LINCOLN",116,405,MILES BECKWORTH RD,SURRENCY,31518,APPLING,White not of Hispanic Origin,M,Active,2015
08675957,2012-9-3,"DUKES, GAIL",261,,HAMILTON RD,BAXLEY,31513 - 7905,APPLING,White not of Hispanic Origin,Unknown,Active,2012
00650265,2021-3-17,"RENTZ, OWEN",296,149,GOLDEN ISLE W,BAXLEY,31563,APPLING,White not of Hispanic Origin,Unknown,Active,2021
00650831,2013-3-5,"DEEN, TALIYAH",22,919,LUCERNE ST,SURRENCY,31513 - 5210,APPLING,White not of Hispanic Origin,F,Cancelled,2013
05841695,1979-7-10,"EUNICE, JACK",852,148,JEKYLL RD,BAXLEY,31513 - 5504,APPLING,Black not of Hispanic Origin,M,Cancelled,1979
11292550,1962-6-17,"CRANSON, STACY",167,721,WHITAKER RD,BAXLEY,31513,APPLING,White not of Hispanic Origin,M,Cancelled,1962
08731630,1966-3-17,"GAMBLE, ELIZA",299,125,MCDANIEL RD,BAXLEY,31513,APPLING,White not of Hispanic Origin,F,Active,1966
07772833,1973-11-6,"HARRIS, JEREMY",404,222,ANTHONY ST,BAXLEY,31513,APPLING,White not of Hispanic Origin,M,Cancelled,1973
11510666,1965-3-4,"JOHNSON, ARTIE",814,371,MAGNOLIA DR,BAXLEY,31563,APPLING,White not of Hispanic Origin,M,Active,1965
00653826,2018-10-4,"SMITH, MARIANNA",996,276,LAKE RIDGE DR,BAXLEY,31513 - 3004,APPLING,White not of Hispanic Origin,F,Active,2018
04681692,1982-1-5,"DYAL, LAURETTE",160,259,LACKAWANNA ST,BAXLEY,31563,APPLING,White not of Hispanic Origin,F,Active,1982
01119770,1987-8-17,"FENNELL, ALEX",864,958,DEERWOOD LN,BAXLEY,31513,APPLING,Black not of Hispanic Origin,M,Active,1987
00647646,1980-9-8,"BUTLER, MAUDE",149,765,DEAN HILL DR,BAXLEY,31513,APPLING,White not of Hispanic Origin,F,Inactive,1980
00652461,1986-12-23,"MULLIS, JOAQUIN",955,,S HOLTON ST,BAXLEY,31513,APPLING,Unknown,M,Cancelled,1986
12702377,2021-3-9,"WILLIAMS, EMILIE",500,,FLEMING DR,BAXLEY,31513,APPLING,White not of Hispanic Origin,F,Active,2021
00649072,1998-10-28,"MURRAY, EVONNE",77,253,HOVIS RD,SURRENCY,31513,APPLING,White not of Hispanic Origin,Unknown,Active,1998
11614572,1987-7-9,"RICKETSON, MIRIAM",522,510,BROOKS RD,BAXLEY,31513,APPLING,White not of Hispanic Origin,F,Inactive,1987
10130603,1994-12-2,"REYNOLDS, ISAAC",112,191,ANDREA ST,BAXLEY,31513,APPLING,White not of Hispanic Origin,M,Active,1994
7819377,2003-11-27,"MUSIC, ELISEO",879,773,WAYNE JONES RD,BAXLEY,31513 - 3126,APPLING,White not of Hispanic Origin,M,Cancelled,2003
07397409,2023-2-27,"SELLERS, MERRILL",971,621,JOHNS LN,BAXLEY,31513 - 8712,APPLING,Black not of Hispanic Origin,Unknown,Active,2023
00655050,1981-5-1,"GRAHAM, RENA",561,,DEAN HILL DR,BAXLEY,31513,APPLING,White not of Hispanic Origin,F,Active,1981
10477882,2009-12-6,"WHITE, AMINA",369,744,N THOMAS ST,BAXLEY,31513,APPLING,Black not of Hispanic Origin,F,Cancelled,2009
10643668,1976-1-25,"DEAN, JODIE",797,,HOPPS ST,BAXLEY,31513 - 6600,APPLING,White not of Hispanic Origin,F,Inactive,1976
11775371,1976-8-16,"LEWIS, KELLY",514,,COOPER RD,SURRENCY,31513,APPLING,White not of Hispanic Origin,M,Inactive,1976
12468671,1981-2-15,"LEWIS, MAGDALENE",85,570,ANTHONY ST,BAXLEY,31513 - 6729,APPLING,White not of Hispanic Origin,F,Cancelled,1981
11556842,2018-1-13,"CROSBY, CAROLYN",546,,SYCAMORE LN,BAXLEY,31513 - 6227,APPLING,White not of Hispanic Origin,F,Cancelled,2018
